date,coil,target,thickness,width,speed,tension,gap_top,gap_bot,pressure_top,pressure_bot,angle_top,angle_bot,weight_top,weight_bot
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.298,9.55,10.35,0.244,0.242,-0.2,-0.6,94.73333333,96.96666667
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.301,9.55,10.3,0.232,0.248,-0.2,-0.6,92.23333333,92.93333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.291,9.6,10.3,0.233,0.229,-0.2,-0.6,98.8,96.33333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.284,9.55,10.3,0.243,0.242,-0.2,-0.6,98.4,97.3
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.301,9.5,10.25,0.245,0.238,-0.2,-0.6,94.4,93.26666667
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.297,9.55,10.25,0.23,0.253,-0.2,-0.6,94.56666667,91.73333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.299,9.55,10.25,0.237,0.226,-0.2,-0.6,95.36666667,90.53333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.31,9.5,10.3,0.237,0.228,-0.2,-0.6,95.36666667,90.53333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.299,9.5,10.25,0.237,0.228,-0.2,-0.6,97.3,90.1
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.3,8.5,8.3,0.348,0.341,-0.2,-0.6,75.4,73.36666667
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.506,8.5,8.45,0.335,0.351,-0.2,-0.6,63.5,62.56666667
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.507,8.55,8.4,0.335,0.334,-0.2,-0.6,63.86666667,62.43333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.506,8.55,8.4,0.338,0.328,-0.2,-0.6,64.76666667,62.83333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.491,8.45,8.4,0.337,0.331,-0.2,-0.6,64.56666667,63.03333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.499,8.5,8.45,0.334,0.327,-0.2,-0.6,65.23333333,64.4
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.498,8.5,8.4,0.336,0.333,-0.2,-0.6,65.6,63.3
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.508,8.5,8.4,0.344,0.335,-0.2,-0.6,65.3,63.03333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.49,8.5,8.45,0.346,0.336,-0.2,-0.6,65.3,63.03333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.503,8.5,8.4,0.345,0.337,-0.2,-0.6,65.3,63.03333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.493,8.45,8.4,0.343,0.34,-0.2,-0.6,64.43333333,63.3
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.505,8.55,8.45,0.335,0.32,-0.2,-0.6,64.3,61.53333333
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.504,8.55,8.4,0.328,0.322,-0.2,-0.6,65.5,64.16666667
2.01607E+13, CQG1331,62,0.654,1187.2,160,2.507,8.5,8.45,0.339,0.336,-0.2,-0.6,64.2,62.5
2.01607E+13, CQG3878,62,0.647,1274,160,2.793,8.55,8.4,0.319,0.317,-0.2,-0.6,65.06666667,61.33333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.806,8.5,8.4,0.325,0.314,-0.2,-0.6,66.6,63.03333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.796,8.55,8.45,0.326,0.321,-0.2,-0.6,66.03333333,64.06666667
2.01607E+13, CQG3878,62,0.647,1274,160,2.791,8.45,8.4,0.327,0.322,-0.2,-0.6,66.03333333,64.06666667
2.01607E+13, CQG3878,62,0.647,1274,160,2.806,8.5,8.45,0.327,0.333,-0.2,-0.6,64.56666667,63.56666667
2.01607E+13, CQG3878,62,0.647,1274,160,2.801,8.5,8.45,0.327,0.328,-0.2,-0.6,64.9,63.3
2.01607E+13, CQG3878,62,0.647,1274,160,2.797,8.5,8.4,0.33,0.33,-0.2,-0.6,64.43333333,62.43333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.812,8.5,8.45,0.328,0.317,-0.2,-0.6,63.86666667,63.03333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.808,8.5,8.4,0.323,0.316,-0.2,-0.6,64.36666667,64.63333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.8,8.5,8.4,0.319,0.317,-0.2,-0.6,64.36666667,64.63333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.802,8.5,8.4,0.319,0.324,-0.2,-0.6,64.36666667,64.63333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.798,8.5,8.4,0.332,0.332,-0.2,-0.6,65.1,65.83333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.806,8.55,8.4,0.322,0.324,-0.2,-0.6,62.9,65.83333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.796,8.5,8.4,0.321,0.329,-0.2,-0.6,62.9,65.83333333
2.01607E+13, CQG3878,62,0.647,1274,160,2.805,8.1,8.2,0.326,0.32,-0.2,-0.6,64.26666667,65.5
2.01607E+13, CQG3878,62,0.647,1274,166,2.804,8.1,8.2,0.33,0.327,-0.2,-0.6,62.56666667,64.73333333
2.01607E+13, CQG3878,62,0.647,1274,161,2.81,8.15,8.15,0.335,0.328,-0.2,-0.6,63.66666667,62.4
